"","ID","AdmArea","Month","Year","TotalAmount","Suppliers","global_id","average_sum"
"1","1","Центральный административный округ","Апрель",2016,1033089057,"Supplier:ОАО «МОЭК»
Amount:3.547077304E8

Supplier:Газпром межрегионгаз Москва
Amount:1.895774299E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:3.262499188E8

Supplier:Ростелеком
Amount:3.124191506E7

Supplier:РСВО
Amount:8403563.2

Supplier:прочие
Amount:1.871844306E8

","171671233",934177571
"2","13","Центральный административный округ","Май",2016,1046211200,"Supplier:ОАО «МОЭК»
Amount:360724814

Supplier:Газпром межрегионгаз Москва
Amount:19218943

Supplier:Мосводоканал
Amount:108936326

Supplier:управляющие компании
Amount:327835177

Supplier:Ростелеком
Amount:31327001

Supplier:РСВО
Amount:8473358

Supplier:прочие
Amount:189695581

","171671245",934177571
"3","25","Центральный административный округ","Июнь",2016,1035468984,"Supplier:ОАО «МОЭК»
Amount:354354753

Supplier:Газпром межрегионгаз Москва
Amount:19157105

Supplier:Мосводоканал
Amount:107730602

Supplier:управляющие компании
Amount:325142893

Supplier:Ростелеком
Amount:31415891

Supplier:РСВО
Amount:8364780

Supplier:прочие
Amount:189302960

","171671257",934177571
"4","49","Центральный административный округ","Август",2016,1029563915,"Supplier:ОАО «МОЭК»
Amount:3.485051833E8

Supplier:Газпром межрегионгаз Москва
Amount:1.882323504E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:5

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8016069.9

Supplier:прочие
Amount:1.309466906E7

","278939764",934177571
"5","61","Центральный административный округ","Сентябрь",2016,1042438615,"Supplier:ОАО «МОЭК»
Amount:3.5107642476E8

Supplier:Газпром межрегионгаз Москва
Amount:1.912694336E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:2

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8081575.73

Supplier:прочие
Amount:3.2513493623E8

","282191445",934177571
"6","73","Центральный административный округ","Октябрь",2016,1065523860,"Supplier:ОАО «МОЭК»
Amount:3.6561924814E8

Supplier:Газпром межрегионгаз Москва
Amount:1.908807964E7

Supplier:Мосводоканал
Amount:1.1267409636E8

Supplier:управляющие компании
Amount:3.401180483E8

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8041555

Supplier:прочие
Amount:1.8960328667E8

","282192211",934177571
"7","85","Центральный административный округ","Ноябрь",2016,1072033883,"Supplier:ОАО «МОЭК»
Amount:3.7440364993E8

Supplier:Газпром межрегионгаз Москва
Amount:1.907128351E7

Supplier:Мосводоканал
Amount:1.1070528976E8

Supplier:управляющие компании
Amount:3.4013120837E8

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8011322.41

Supplier:прочие
Amount:1.8931975334E8

","282196211",934177571
"8","97","Центральный административный округ","Декабрь",2016,1083268627,"Supplier:ОАО «МОЭК»
Amount:379412594

Supplier:Мосводоканал
Amount:112681286

Supplier:Газпром межрегионгаз Москва
Amount:19066742

Supplier:Ростелеком
Amount:30331133

Supplier:РСВО
Amount:8028920

Supplier:управляющие компании
Amount:346006407

Supplier:прочие
Amount:187741544

","284597913",934177571
"9","109","Центральный административный округ","Январь",2017,1103915545.5,"Supplier:ОАО «МОЭК»
Amount:3.991370292E8

Supplier:Газпром межрегионгаз Москва
Amount:1.91115255E7

Supplier:Мосводоканал
Amount:1

Supplier:Ростелеком
Amount:3.24115967E7

Supplier:РСВО
Amount:7971411.9

Supplier:управляющие компании
Amount:3.465947939E8

Supplier:прочие
Amount:1.888855503E8

","612938960",1083549356
"10","121","Центральный административный округ","Февраль",2017,1129023935.08,"Supplier:ОАО «МОЭК»
Amount:4.1778333039E8

Supplier:Газпром межрегионгаз Москва
Amount:1.90627893E7

Supplier:Мосводоканал
Amount:1.1118957768E8

Supplier:Ростелеком
Amount:3.235883836E7

Supplier:РСВО
Amount:8997614.32

Supplier:управляющие компании
Amount:3.4956093621E8

Supplier:прочие
Amount:1.9007084882E8

","612943334",1083549356
"11","133","Центральный административный округ","Март",2017,1111853811.94,"Supplier:ОАО «МОЭК»
Amount:4.1340835479E8

Supplier:Газпром межрегионгаз Москва
Amount:1.904782367E7

Supplier:Мосводоканал
Amount:1

Supplier:Ростелеком
Amount:3.227504473E7

Supplier:РСВО
Amount:8975428.37

Supplier:управляющие компании
Amount:3.4088358108E8

Supplier:прочие
Amount:1.8810983603E8

","612947382",1083549356
"12","145","Центральный административный округ","Апрель",2017,1115320815.67,"Supplier:ОАО «МОЭК»
Amount:4.1447525624E8

Supplier:Газпром межрегионгаз Москва
Amount:1.910680467E7

Supplier:Мосводоканал
Amount:1.1134421727E8

Supplier:Ростелеком
Amount:3.21968536E7

Supplier:РСВО
Amount:8929211.79

Supplier:управляющие компании
Amount:3.4084189129E8

Supplier:прочие
Amount:1.8842658081E8

","612957874",1083549356
"13","169","Центральный административный округ","Июнь",2017,1131309445.43,"Supplier:ОАО «МОЭК»
Amount:4.2424533225E8

Supplier:Газпром межрегионгаз Москва
Amount:2

Supplier:Мосводоканал
Amount:1.1872646321E8

Supplier:Ростелеком
Amount:3.210994598E7

Supplier:РСВО
Amount:8895609.8

Supplier:управляющие компании
Amount:3.2836574647E8

Supplier:прочие
Amount:1.9851309863E8

","613114399",1083549356
"14","182","Центральный административный округ","Июль",2017,1197215543.72,"Supplier:ОАО «МОЭК»
Amount:4.3660807988E8

Supplier:Газпром межрегионгаз Москва
Amount:2.124645373E7

Supplier:Мосводоканал
Amount:1.225741666E8

Supplier:Ростелеком
Amount:3.207438665E7

Supplier:РСВО
Amount:9851566.41

Supplier:управляющие компании
Amount:3.564173392E8

Supplier:прочие
Amount:2.1844355125E8

","885810666",1083549356
"15","302","Центральный административный округ","Май",2018,1247099349.01,"Supplier:ОАО «МОЭК»
Amount:4.2821696638E8

Supplier:Газпром межрегионгаз Москва
Amount:2.147709154E7

Supplier:Мосводоканал
Amount:1.2076325695E8

Supplier:Ростелеком
Amount:3.413624115E7

Supplier:РСВО
Amount:1

Supplier:управляющие компании
Amount:4.1474595964E8

Supplier:прочие
Amount:2.1771172855E8

","885813824",1240896844
"16","290","Центральный административный округ","Февраль",2018,1247523024.93,"Supplier:ОАО «МОЭК»
Amount:4.3156523592E8

Supplier:Газпром межрегионгаз Москва
Amount:2.132718924E7

Supplier:Мосводоканал
Amount:1.3368117086E8

Supplier:Ростелеком
Amount:3.409039997E7

Supplier:РСВО
Amount:9585762.55

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1688665411E8

","885817661",1240896844
"17","266","Центральный административный округ","Январь",2018,1255932407.09,"Supplier:ОАО «МОЭК»
Amount:4.3424734867E8

Supplier:Газпром межрегионгаз Москва
Amount:2.126232577E7

Supplier:Мосводоканал
Amount:1.3245184128E8

Supplier:Ростелеком
Amount:3.369905345E7

Supplier:РСВО
Amount:9611906.68

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1685632409E8

","885818212",1240896844
"18","338","Центральный административный округ","Февраль",2019,1318968869,"Supplier:ОАО «МОЭК»
Amount:4.8044303498E8

Supplier:Газпром межрегионгаз Москва
Amount:2.248898126E7

Supplier:Мосводоканал
Amount:1.2803020304E8

Supplier:Ростелеком
Amount:3.645687247E7

Supplier:РСВО
Amount:9843942.87

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.3402676903E8

","915889876",1219241088
"19","350","Центральный административный округ","Сентябрь",2017,1212037226.66,"Supplier:ОАО «МОЭК»
Amount:4.4739120368E8

Supplier:Газпром межрегионгаз Москва
Amount:2.135291087E7

Supplier:Мосводоканал
Amount:1.2949360218E8

Supplier:Ростелеком
Amount:3.206910339E7

Supplier:РСВО
Amount:9795961.1

Supplier:управляющие компании
Amount:3.5602963197E8

Supplier:прочие
Amount:1.6977058075E8

","918727981",1083549356
