"","ID","AdmArea","Month","Year","TotalAmount","Suppliers","global_id"
"56","733","Центральный административный округ","Ноябрь","2020","1.36015486183E9","Supplier:ОАО «МОЭК»
Amount:4.9365791476E8

Supplier:Газпром межрегионгаз Москва
Amount:2.315635146E7

Supplier:Мосводоканал
Amount:1.4433761449E8

Supplier:Ростелеком
Amount:3.758863374E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.5044370759E8

Supplier:управляющие компании
Amount:4

","1146148926"
"57","745","Центральный административный округ","Декабрь","2020","1.39025640239E9","Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.305093948E7

Supplier:Мосводоканал
Amount:1.4614162265E8

Supplier:Ростелеком
Amount:3.757522248E7

Supplier:РСВО
Amount:9991733.32

Supplier:прочие
Amount:2.6908983083E8

Supplier:управляющие компании
Amount:4

","1146149049"
"58","757","Центральный административный округ","Январь","2021","1.39025640239E9","Supplier:ОАО «МОЭК»
Amount:5.2423186365E8

Supplier:Газпром межрегионгаз Москва
Amount:2.311439742E7

Supplier:Мосводоканал
Amount:1.4532008798E8

Supplier:Ростелеком
Amount:3.751189601E7

Supplier:РСВО
Amount:9950302.27

Supplier:прочие
Amount:2.5499523999E8

Supplier:управляющие компании
Amount:4.1535603858E8

","1146149191"
"59","769","Центральный административный округ","Февраль","2021","1.36997152859E9","Supplier:ОАО «МОЭК»
Amount:4.7632383818E8

Supplier:Газпром межрегионгаз Москва
Amount:2.317431335E7

Supplier:Мосводоканал
Amount:1.4574350633E8

Supplier:Ростелеком
Amount:3.746921484E7

Supplier:РСВО
Amount:9899097.39

Supplier:прочие
Amount:2.5711159747E8

Supplier:управляющие компании
Amount:4.2024996103E8

","1146149253"
"60","781","Центральный административный округ","Март","2021","1.38567590484E9","Supplier:ОАО «МОЭК»
Amount:4.9437579549E8

Supplier:Газпром межрегионгаз Москва
Amount:2.307389866E7

Supplier:Мосводоканал
Amount:1.445896224E8

Supplier:Ростелеком
Amount:3.744178544E7

Supplier:РСВО
Amount:9885761.65

Supplier:прочие
Amount:2.5810188438E8

Supplier:управляющие компании
Amount:4.1820715682E8

","1146150147"
"61","793","Центральный административный округ","Апрель","2021","1.38433332946E9","Supplier:ОАО «МОЭК»
Amount:4.9301496305E8

Supplier:Газпром межрегионгаз Москва
Amount:2.312443422E7

Supplier:Мосводоканал
Amount:1.4365185884E8

Supplier:Ростелеком
Amount:3.733549566E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.5860159191E8

Supplier:управляющие компании
Amount:4.1837923495E8

","1146151174"
"62","805","Центральный административный округ","Май","2021","1.39971150675E9","Supplier:ОАО «МОЭК»
Amount:4.9021082068E8

Supplier:Газпром межрегионгаз Москва
Amount:2.31377555E7

Supplier:Мосводоканал
Amount:1.4690686845E8

Supplier:Ростелеком
Amount:3.729958799E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.6699193918E8

Supplier:управляющие компании
Amount:4.2498848307E8

","1146154286"
"63","817","Центральный административный округ","Июнь","2021","1.38876361668E9","Supplier:ОАО «МОЭК»
Amount:4.8532838149E8

Supplier:Газпром межрегионгаз Москва
Amount:2.308961439E7

Supplier:Мосводоканал
Amount:1.4488018304E8

Supplier:Ростелеком
Amount:3.72315893E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.629553513E8

Supplier:управляющие компании
Amount:4.2514076397E8

","1146176095"
"64","829","Центральный административный округ","Июль","2021","1.39215498993E9","Supplier:ОАО «МОЭК»
Amount:4.8895315849E8

Supplier:Газпром межрегионгаз Москва
Amount:2.313907627E7

Supplier:Мосводоканал
Amount:1.4936177775E8

Supplier:Ростелеком
Amount:3.719948007E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.5779233324E8

Supplier:управляющие компании
Amount:4.2556029985E8

","1146176229"
"65","841","Центральный административный округ","Август","2021","1.38141507339E9","Supplier:ОАО «МОЭК»
Amount:4.7314072729E8

Supplier:Газпром межрегионгаз Москва
Amount:2.446865631E7

Supplier:Мосводоканал
Amount:1.4505567861E8

Supplier:Ростелеком
Amount:37188061

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.659857694E8

Supplier:управляющие компании
Amount:4.2544875758E8

","1146176526"
"66","853","Центральный административный округ","Сентябрь","2021","1.3748959736E9","Supplier:ОАО «МОЭК»
Amount:4.7033927595E8

Supplier:Газпром межрегионгаз Москва
Amount:2.380199198E7

Supplier:Мосводоканал
Amount:1.4453072463E8

Supplier:Ростелеком
Amount:3.713022703E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:265475684

Supplier:управляющие компании
Amount:4.235851035E8

","1263035593"
"67","865","Центральный административный округ","Октябрь","2021","1.39523217422E9","Supplier:ОАО «МОЭК»
Amount:4.848924642E8

Supplier:Газпром межрегионгаз Москва
Amount:2.377951905E7

Supplier:Мосводоканал
Amount:1.4959335283E8

Supplier:Ростелеком
Amount:3.71069007E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.6190587631E8

Supplier:управляющие компании
Amount:4.2794432231E8

","1263039996"
"68","878","Центральный административный округ","Ноябрь","2021","1.42666801612E9","Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.385922423E7

Supplier:Мосводоканал
Amount:1.5120688622E8

Supplier:Ростелеком
Amount:3.707044624E7

Supplier:РСВО
Amount:9976381.66

Supplier:прочие
Amount:2.7008229499E8

Supplier:управляющие компании
Amount:4.3182728867E8

","1266502142"
"69","890","Центральный административный округ","Декабрь","2021","1.43257222785E9","Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.369681367E7

Supplier:Мосводоканал
Amount:1.517156779E8

Supplier:Ростелеком
Amount:3.698349146E7

Supplier:РСВО
Amount:9955612.22

Supplier:прочие
Amount:2.8034657539E8

Supplier:управляющие компании
Amount:4.2785858603E8

","1508957373"
